priority,article_id,article_type,brand,category_slug,subject,en_slug,sv_slug,flags
P0-SAFETY,199,error_code,Bosch,washing-machines,END,error-code-end,felkod-end,electrical_testing;invalid_faq_json_keys;parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention
P0-SAFETY,200,error_code,Bosch,washing-machines,F16,error-code-f16,felkod-f16,electrical_testing;hazardous_instruction_without_unplug;parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention
P0-SAFETY,201,error_code,Bosch,washing-machines,F17,error-code-f17,felkod-f17,electrical_testing;hazardous_instruction_without_unplug;parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention;unqualified_fix_claim
P0-SAFETY,203,error_code,Bosch,washing-machines,F21,error-code-f21,felkod-f21,internal_inspection;parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention
P0-SAFETY,204,error_code,Bosch,washing-machines,F23,error-code-f23,felkod-f23,parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention
P0-SAFETY,205,error_code,Bosch,washing-machines,F43,error-code-f43,felkod-f43,electrical_testing;internal_inspection;parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention
P0-SAFETY,206,error_code,Bosch,washing-machines,NO,error-code-no,felkod-no,electrical_testing;parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention;unqualified_fix_claim
P0-SAFETY,311,fault,Bosch,washing-machines,Washing machine won't drain,washing-machine-wont-drain,tvattmaskin-tommer-inte,meta_at_column_limit;parts_content_in_prevention;parts_json_null;possibly_truncated_meta;remove_panel;spare_parts_marker_in_prevention
P0-SAFETY,312,fault,Bosch,washing-machines,Washing machine won't spin,wont-spin,centrifugerar-inte,electrical_testing;parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention;unqualified_fix_claim
P0-SAFETY,315,fault,Bosch,washing-machines,Washing machine won't fill with water,wont-fill,fyller-inte,electrical_testing;meta_at_column_limit;parts_content_in_prevention;parts_json_null;possibly_truncated_meta;remove_panel;spare_parts_marker_in_prevention
P0-SAFETY,317,fault,Bosch,washing-machines,Washing machine is making loud noise,making-loud-noise,låter-högt,hazardous_instruction_without_unplug;parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention;unqualified_fix_claim
P0-SAFETY,318,fault,Bosch,washing-machines,Washing machine not heating water,not-heating-water,värmer-inte-vatten,electrical_testing;internal_inspection;meta_at_column_limit;parts_content_in_prevention;parts_json_null;possibly_truncated_meta;spare_parts_marker_in_prevention;unqualified_fix_claim
P0-SAFETY,319,fault,Bosch,washing-machines,Washing machine vibrating excessively,vibrating-excessively,vibrerar-för-mycket,hazardous_instruction_without_unplug;parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention;unqualified_fix_claim
P0-SAFETY,323,fault,Bosch,washing-machines,Drum is not turning,drum-not-turning,trumman-snurrar-inte,hazardous_instruction_without_unplug;internal_inspection;meta_at_column_limit;parts_content_in_prevention;parts_json_null;possibly_truncated_meta;remove_panel;spare_parts_marker_in_prevention
P0-SAFETY,324,fault,Bosch,washing-machines,Control panel is unresponsive,control-panel-unresponsive,kontrollpanel-svarar-inte,generic_calibration_sequence;internal_inspection;meta_at_column_limit;parts_content_in_prevention;parts_json_null;possibly_truncated_meta;remove_panel;spare_parts_marker_in_prevention
P0-SAFETY,325,fault,Bosch,washing-machines,Washing machine won't complete a cycle,wont-complete-cycle,slutfor-inte-programmet,parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention
P0-SAFETY,328,fault,Bosch,washing-machines,Washing machine trips the electrics,trips-electrics,löser-ut-säkringen,electrical_testing;parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention
P0-SAFETY,329,fault,Bosch,washing-machines,Washing machine has a burning smell,burning-smell,brannande-lukt,hazardous_instruction_without_unplug;internal_inspection;parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention
P0-SAFETY,248,error_code,Electrolux,washing-machines,E20,error-code-e20,felkod-e20,parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention
P0-SAFETY,249,error_code,Electrolux,washing-machines,E21,error-code-e21,felkod-e21,electrical_testing;meta_at_column_limit;parts_content_in_prevention;parts_json_null;possibly_truncated_meta;spare_parts_marker_in_prevention
P0-SAFETY,250,error_code,Electrolux,washing-machines,E23,error-code-e23,felkod-e23,parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention
