id,code,brand,category,short_description,description,severity,diy_possible,source,last_verified_at,scrape_status,linked_product_codes,article_exists,en_exists,sv_exists,classification,recommended_action,blocking_issues
656,F9,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
657,TH,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
669,F1-F9,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
745,E5,Samsung,dryers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
747,BD,Samsung,dryers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
758,BO,Samsung,dryers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
759,1DC4,Samsung,washing-machines,,,medium,True,,,pending,1,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
762,TYPE1,Samsung,washing-machines,,,medium,True,,,pending,1,False,False,False,C,exclude_and_investigate,suspect_code_shape;missing_description;not_verified;no_official_samsung_source
763,TYPE2,Samsung,washing-machines,,,medium,True,,,pending,1,False,False,False,C,exclude_and_investigate,suspect_code_shape;missing_description;not_verified;no_official_samsung_source
768,OE,Samsung,dryers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
769,DEZ,Samsung,dryers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
773,SEE,Samsung,dryers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
854,CE1,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
855,CE2,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
882,PC,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
883,PC1,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
885,SF2,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
886,SF3,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
